"BehaviorSpace results (NetLogo 6.2.2)"
"b-cell.nlogo"
"experiment"
"10/18/2022 16:03:23:993 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","8","8","8","8","8","8","8","8","9","9","9","9","9","9","9","9","10","10","10","10","10","10","10","10"
"first-exposure-amt","30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,
"cytokine-to-visualize","none",,,,,,,,"none",,,,,,,,"none",,,,,,,,"none",,,,,,,,"none",,,,,,,,"none",,,,,,,,"none",,,,,,,,"none",,,,,,,,"none",,,,,,,,"none",,,,,,,
"number-of-TI-epitopes","10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,
"bcell-cd21-activation-threshold","15",,,,,,,,"15",,,,,,,,"15",,,,,,,,"15",,,,,,,,"15",,,,,,,,"15",,,,,,,,"15",,,,,,,,"15",,,,,,,,"15",,,,,,,,"15",,,,,,,
"number-of-bacteria","50",,,,,,,,"50",,,,,,,,"50",,,,,,,,"50",,,,,,,,"50",,,,,,,,"50",,,,,,,,"50",,,,,,,,"50",,,,,,,,"50",,,,,,,,"50",,,,,,,
"bcell-breg-diff-threshold","180",,,,,,,,"180",,,,,,,,"180",,,,,,,,"180",,,,,,,,"180",,,,,,,,"180",,,,,,,,"180",,,,,,,,"180",,,,,,,,"180",,,,,,,,"180",,,,,,,
"bacteria-epitope-type","30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,
"RandomSeed","578",,,,,,,,"578",,,,,,,,"578",,,,,,,,"578",,,,,,,,"578",,,,,,,,"578",,,,,,,,"578",,,,,,,,"578",,,,,,,,"578",,,,,,,,"578",,,,,,,
"number-of-TD-epitopes","10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,
"phag-il6-burst","3",,,,,,,,"3",,,,,,,,"3",,,,,,,,"3",,,,,,,,"3",,,,,,,,"3",,,,,,,,"3",,,,,,,,"3",,,,,,,,"3",,,,,,,,"3",,,,,,,
"RandomRuns?","true",,,,,,,,"true",,,,,,,,"true",,,,,,,,"true",,,,,,,,"true",,,,,,,,"true",,,,,,,,"true",,,,,,,,"true",,,,,,,,"true",,,,,,,,"true",,,,,,,
"AutoInoculate?","true",,,,,,,,"true",,,,,,,,"true",,,,,,,,"true",,,,,,,,"true",,,,,,,,"true",,,,,,,,"true",,,,,,,,"true",,,,,,,,"true",,,,,,,,"true",,,,,,,
"bcell-tnfa-apop-threshold","263",,,,,,,,"263",,,,,,,,"263",,,,,,,,"263",,,,,,,,"263",,,,,,,,"263",,,,,,,,"263",,,,,,,,"263",,,,,,,,"263",,,,,,,,"263",,,,,,,
"second-exposure-amt","30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,
